"Art and Design Center, ADC, Usage Cost","Art and Design Center, ADC, Demand Cost","Art and Design Center, ADC, Percentage demand of total","Arbor Grill, AR, Usage Cost","Arbor Grill, AR, Demand Cost","Arbor Grill, AR, Percentage demand of total","Bookstein Hall, BB, Usage Cost","Bookstein Hall, BB, Demand Cost","Bookstein Hall, BB, Percentage demand of total","Bayramian Hall, BH, Usage Cost","Bayramian Hall, BH, Demand Cost","Bayramian Hall, BH, Percentage demand of total","Campus Store Complex, BK, Usage Cost","Campus Store Complex, BK, Demand Cost","Campus Store Complex, BK, Percentage demand of total","Donald Bianchi Planetarium, BP, Usage Cost","Donald Bianchi Planetarium, BP, Demand Cost","Donald Bianchi Planetarium, BP, Percentage demand of total","Chaparral Hall, CR, Usage Cost","Chaparral Hall, CR, Demand Cost","Chaparral Hall, CR, Percentage demand of total","Citrus Hall, CS, Usage Cost","Citrus Hall, CS, Demand Cost","Citrus Hall, CS, Percentage demand of total","Cypress Hall, CY, Usage Cost","Cypress Hall, CY, Demand Cost","Cypress Hall, CY, Percentage demand of total","Education, ED, Usage Cost","Education, ED, Demand Cost","Education, ED, Percentage demand of total","Eucalyptus Hall, EH, Usage Cost","Eucalyptus Hall, EH, Demand Cost","Eucalyptus Hall, EH, Percentage demand of total","Jacaranda Hall, JD, Usage Cost","Jacaranda Hall, JD, Demand Cost","Jacaranda Hall, JD, Percentage demand of total","Jerome Richfield Hall, JR, Usage Cost","Jerome Richfield Hall, JR, Demand Cost","Jerome Richfield Hall, JR, Percentage demand of total","Lilac Hall, LL, Usage Cost","Lilac Hall, LL, Demand Cost","Lilac Hall, LL, Percentage demand of total","Live Oak Hall, LO, Usage Cost","Live Oak Hall, LO, Demand Cost","Live Oak Hall, LO, Percentage demand of total","Main Distribution Facility, MDF, Usage Cost","Main Distribution Facility, MDF, Demand Cost","Main Distribution Facility, MDF, Percentage demand of total","Magnolia Hall, MG, Usage Cost","Magnolia Hall, MG, Demand Cost","Magnolia Hall, MG, Percentage demand of total","Manzanita Hall, MZ, Usage Cost","Manzanita Hall, MZ, Demand Cost","Manzanita Hall, MZ, Percentage demand of total","North Campus Hill Top, NC: H, Usage Cost","North Campus Hill Top, NC: H, Demand Cost","North Campus Hill Top, NC: H, Percentage demand of total","North Campus Rydell, NC: R, Usage Cost","North Campus Rydell, NC: R, Demand Cost","North Campus Rydell, NC: R, Percentage demand of total","Nordhoff Hall, NH, Usage Cost","Nordhoff Hall, NH, Demand Cost","Nordhoff Hall, NH, Percentage demand of total","University Library, OV, Usage Cost","University Library, OV, Demand Cost","University Library, OV, Percentage demand of total","Parking Lot B2, PL: B2, Usage Cost","Parking Lot B2, PL: B2, Demand Cost","Parking Lot B2, PL: B2, Percentage demand of total","Parking Lot E6, PL: E6, Usage Cost","Parking Lot E6, PL: E6, Demand Cost","Parking Lot E6, PL: E6, Percentage demand of total","Physical Plant Management, PPM, Usage Cost","Physical Plant Management, PPM, Demand Cost","Physical Plant Management, PPM, Percentage demand of total","Parking Structure B3, PS: B3, Usage Cost","Parking Structure B3, PS: B3, Demand Cost","Parking Structure B3, PS: B3, Percentage demand of total","Parking Structure B5, PS:B5, Usage Cost","Parking Structure B5, PS:B5, Demand Cost","Parking Structure B5, PS:B5, Percentage demand of total","Parking Structure G3, PS: G3, Usage Cost","Parking Structure G3, PS: G3, Demand Cost","Parking Structure G3, PS: G3, Percentage demand of total","Redwood Hall, RE, Usage Cost","Redwood Hall, RE, Demand Cost","Redwood Hall, RE, Percentage demand of total","Sierra Center, SC, Usage Cost","Sierra Center, SC, Demand Cost","Sierra Center, SC, Percentage demand of total","Sierra Hall, SH, Usage Cost","Sierra Hall, SH, Demand Cost","Sierra Hall, SH, Percentage demand of total","Sequoia Hall, SQ, Usage Cost","Sequoia Hall, SQ, Demand Cost","Sequoia Hall, SQ, Percentage demand of total","Student Recreation Center, SRC, Usage Cost","Student Recreation Center, SRC, Demand Cost","Student Recreation Center, SRC, Percentage demand of total","Sierra Tower, ST, Usage Cost","Sierra Tower, ST, Demand Cost","Sierra Tower, ST, Percentage demand of total","Valera Hall, UN, Usage Cost","Valera Hall, UN, Demand Cost","Valera Hall, UN, Percentage demand of total","University Student Union, USU, Usage Cost","University Student Union, USU, Demand Cost","University Student Union, USU, Percentage demand of total","The Soraya, VPAC, Usage Cost","The Soraya, VPAC, Demand Cost","The Soraya, VPAC, Percentage demand of total","EV Charging, EV, Usage Cost","EV Charging, EV, Demand Cost","EV Charging, EV, Percentage demand of total"
7151.66,693.72,8.84,1243.29,238.89,16.12,7483.43,1160.33,13.42,13225.23,1400.47,9.58,27802.33,1390.54,4.76,117.24,0.0,0.0,0.0,555.35,100.0,12175.76,726.61,5.63,3908.06,826.51,17.46,7301.08,1345.86,15.56,12575.24,972.94,7.18,22550.5,2804.04,11.06,5539.25,808.51,12.74,1180.17,185.53,13.58,8599.5,612.43,6.65,17474.19,1291.88,6.88,6216.35,383.47,5.81,7335.86,654.63,8.19,95.69,3.1,3.14,164.06,26.68,13.99,4707.64,529.29,10.11,21504.27,1890.66,8.08,-5930.83,-1252.17,17.43,2331.93,557.21,19.29,5572.53,345.0,5.83,4748.7,217.8,4.39,2310.32,166.91,6.74,2093.33,89.97,4.12,32230.37,2970.33,8.44,3628.06,743.36,17.0,11955.06,1366.96,10.26,19570.21,1181.43,5.69,11978.12,901.59,7.0,3911.48,400.22,9.28,6024.74,1050.51,14.85,37018.09,3356.9,8.31,13839.99,1092.08,7.31,663.49,0.0,0.0
7306.77,1119.85,13.29,1634.32,453.03,21.7,7594.94,1678.48,18.1,12473.86,2095.35,14.38,29146.44,2183.03,6.97,120.58,0.0,0.0,3584.23,1048.13,22.63,12325.53,1579.73,11.36,4052.94,1069.03,20.87,7191.63,1799.94,20.02,11873.67,1637.72,12.12,23675.63,4299.58,15.37,5270.08,1129.72,17.65,1066.24,244.01,18.62,8127.41,979.65,10.76,15868.25,2073.19,11.56,5811.59,643.19,9.96,7435.01,1324.14,15.12,84.27,5.68,6.32,173.56,43.45,20.02,5077.76,889.63,14.91,21898.96,3155.72,12.6,-7181.81,-1751.4,19.61,2907.67,818.22,21.96,4979.48,549.68,9.94,4417.13,330.89,6.97,2314.91,264.09,10.24,1906.12,199.62,9.48,34827.54,5312.11,13.23,4155.72,1058.55,20.3,12533.64,2183.1,14.83,17994.18,2003.16,10.02,12069.98,1482.52,10.94,3933.03,661.66,14.4,5882.67,1476.64,20.06,38003.32,4980.16,11.59,13398.06,1676.88,11.12,532.38,0.0,0.0
8224.48,693.72,7.78,1942.38,238.89,10.95,8430.71,1160.33,12.1,13995.2,1400.47,9.1,34312.88,1390.54,3.89,89.18,0.0,0.0,19891.03,555.35,2.72,14326.32,726.61,4.83,4587.7,826.51,15.27,7929.27,1345.86,14.51,13467.76,972.94,6.74,27190.24,2804.04,9.35,6028.61,808.51,11.83,1166.75,185.53,13.72,9068.17,612.43,6.33,17527.83,1291.88,6.86,6051.33,383.47,5.96,8343.89,654.63,7.27,91.38,3.1,3.28,173.07,26.68,13.36,4324.93,529.29,10.9,23818.04,1890.66,7.35,-9570.58,-1252.17,11.57,3952.94,557.21,12.35,5521.83,345.0,5.88,4589.04,217.8,4.53,2506.98,166.91,6.24,2042.02,89.97,4.22,36608.24,2970.33,7.5,4904.08,743.36,13.16,14511.36,1366.96,8.61,19422.4,1181.43,5.73,13099.94,901.59,6.44,4253.27,400.22,8.6,6366.72,1050.51,14.16,43435.06,3356.9,7.17,15022.34,1092.08,6.78,568.3,0.0,0.0
7914.61,1078.57,11.99,2210.49,444.43,16.74,9686.14,1711.16,15.01,13760.63,2168.88,13.62,34796.14,2251.4,6.08,64.99,0.0,0.0,18290.18,989.22,5.13,13901.79,1297.22,8.53,4679.23,1073.33,18.66,7552.58,1680.83,18.2,13070.72,1848.85,12.39,27090.64,4499.1,14.24,5887.98,1134.88,16.16,1147.96,267.23,18.88,9022.48,1022.22,10.18,18267.68,2105.01,10.33,5957.56,666.84,10.07,8417.9,1307.37,13.44,87.59,5.68,6.09,199.44,51.62,20.56,2536.65,966.17,27.58,24508.89,3442.96,12.32,-10523.9,-2325.45,18.1,4411.04,1030.21,18.93,5396.63,556.99,9.36,4435.79,348.95,7.29,2336.86,219.8,8.6,1894.49,138.13,6.8,35598.28,5172.79,12.69,5184.24,1062.42,17.01,14638.74,2189.55,13.01,17371.07,2013.05,10.39,13569.42,1336.75,8.97,4080.65,668.54,14.08,6006.5,1369.14,18.56,44315.48,5113.02,10.34,14720.75,1745.68,10.6,561.7,0.0,0.0
7626.7,1080.29,12.41,2034.45,426.8,17.34,9456.0,1719.33,15.39,14047.59,2106.1,13.04,12882.18,2213.56,14.66,121.89,0.0,0.0,18556.98,970.3,4.97,14123.86,1283.03,8.33,4584.36,1060.0,18.78,7737.18,1707.49,18.08,13059.82,1583.97,10.82,26699.46,4518.45,14.47,5735.69,1137.46,16.55,1250.09,259.06,17.17,8982.04,1000.29,10.02,21770.8,2255.08,9.39,6191.94,668.56,9.75,8033.59,1051.52,11.57,84.98,5.68,6.27,239.82,43.45,15.34,2403.0,886.62,26.95,26110.07,3163.03,10.81,-11500.78,-1252.17,9.82,4895.64,1096.43,18.3,5538.94,580.21,9.48,4589.23,217.8,4.53,2450.8,266.67,9.81,1837.09,135.12,6.85,33664.27,5120.33,13.2,5716.08,1090.8,16.02,13824.51,2229.54,13.89,16504.87,1872.01,10.19,14301.76,1546.16,9.76,4105.9,650.48,13.68,6139.2,1350.65,18.03,45970.25,5119.04,10.02,15389.12,1814.48,10.55,569.29,0.0,0.0
7311.1,1758.78,19.39,2177.9,608.46,21.84,9233.98,2287.47,19.85,13898.03,3039.77,17.95,5670.75,3241.3,36.37,157.2,0.0,0.0,17335.1,1746.51,9.15,13329.92,1879.94,12.36,4143.52,1300.84,23.89,7425.28,2067.54,21.78,12637.43,2400.78,15.96,27416.19,6374.61,18.86,6238.71,1407.97,18.41,1438.85,357.22,19.89,8376.33,1437.9,14.65,21513.36,3325.97,13.39,6155.26,949.95,13.37,6799.56,1399.59,17.07,79.86,8.92,10.05,266.96,83.91,23.92,4481.25,1423.63,24.11,21468.53,4683.29,17.91,-9879.33,-3845.95,28.02,4727.67,1685.32,26.28,5231.88,900.81,14.69,4546.58,528.2,10.41,2146.74,343.45,13.79,1706.04,184.06,9.74,33194.31,7387.71,18.2,6819.01,1597.93,18.98,11987.73,2909.26,19.53,15349.98,2630.61,14.63,13857.08,2021.94,12.73,4120.14,953.12,18.79,5811.76,1931.27,24.94,50525.49,7946.94,13.59,15489.59,2876.88,15.66,533.68,0.0,0.0
8567.08,924.72,9.74,2525.9,402.9,13.76,10071.23,1565.57,13.45,15482.95,1989.52,11.39,7661.74,1906.0,19.92,167.83,4.29,2.49,20144.33,1124.27,5.29,19220.86,1090.27,5.37,4618.89,987.88,17.62,8132.36,1667.28,17.01,14129.4,1414.81,9.1,31855.21,4100.61,11.4,6231.82,1244.44,16.65,1774.69,261.76,12.85,9292.92,890.95,8.75,24296.76,2025.47,7.69,6425.88,770.23,10.7,7394.24,906.75,10.92,89.77,5.08,5.36,263.73,49.12,15.7,5586.98,848.07,13.18,23245.85,2754.93,10.6,-10223.42,-1252.17,10.91,4994.17,945.29,15.92,5779.15,539.7,8.54,5281.22,310.53,5.55,2431.44,228.62,8.59,2022.63,121.65,5.67,31961.05,4410.12,12.13,7649.45,1012.31,11.69,13446.95,1900.9,12.39,17930.54,1704.81,8.68,16640.91,1354.68,7.53,4767.31,600.86,11.19,6739.24,1305.6,16.23,57725.84,4940.58,7.88,16098.31,1567.28,8.87,616.35,0.0,0.0
8923.48,1730.65,16.24,2806.2,594.88,17.49,11743.67,2873.35,19.66,16610.21,3245.41,16.35,13744.16,3526.48,20.42,178.62,0.0,0.0,20238.44,2178.16,9.72,19275.85,2094.31,9.8,5192.3,1475.44,22.13,8707.65,2417.71,21.73,14417.25,2315.42,13.84,34802.1,7006.08,16.76,7240.01,1865.81,20.49,1877.32,450.34,19.35,9652.61,1567.88,13.97,24164.66,3509.3,12.68,6365.16,997.48,13.55,7905.17,2131.94,21.24,86.47,7.95,8.42,309.73,97.49,23.94,5644.91,1527.42,21.3,25760.6,4562.04,15.05,-10150.6,-3451.16,25.37,4444.68,1521.39,25.5,5895.35,894.02,13.17,4878.71,564.09,10.36,2529.27,679.07,21.17,2193.39,217.04,9.0,37676.37,8472.17,18.36,7831.72,1614.42,17.09,14093.32,3428.21,19.57,18193.55,2937.13,13.9,16315.49,2259.59,12.16,5281.07,1062.73,16.75,7076.61,1873.07,20.93,60575.92,8223.4,11.95,17241.12,2527.68,12.79,607.44,0.0,0.0
9332.01,1778.18,16.0,2806.58,612.34,17.91,12109.89,2974.23,19.72,16181.8,3589.76,18.16,17875.16,3564.31,16.62,175.91,0.0,0.0,19858.29,1423.5,6.69,13471.73,1862.48,12.15,5708.38,2118.55,27.07,9304.24,3449.79,27.05,14207.07,2493.9,14.93,35712.65,7187.47,16.75,8108.4,2072.42,20.36,1863.3,475.56,20.33,9767.15,1569.82,13.85,22911.68,3311.42,12.63,7379.02,982.93,11.75,8896.98,1677.98,15.87,88.45,7.95,8.25,235.85,68.39,22.48,6066.69,1356.7,18.28,29239.67,4846.25,14.22,-8162.67,-3209.63,28.22,3573.19,1428.27,28.56,5652.73,884.32,13.53,5023.75,558.27,10.0,2874.12,427.84,12.96,2328.31,230.62,9.01,37930.71,7613.72,16.72,10539.65,1905.42,15.31,17419.45,3503.87,16.75,19140.2,3028.31,13.66,18428.68,2311.0,11.14,5118.18,1025.87,16.7,7022.7,2692.72,27.72,63182.22,8604.6,11.99,17089.16,2799.28,14.07,583.0,0.0,0.0
9777.73,1148.66,10.51,2334.91,372.62,13.76,9312.84,1757.6,15.88,15712.87,2230.8,12.43,14344.51,2258.71,13.6,172.86,0.0,0.0,21234.22,1277.75,5.68,13822.08,1229.28,8.17,5605.05,1101.28,16.42,9376.78,1725.98,15.55,14730.75,1587.41,9.73,33134.79,4644.01,12.29,6876.28,1298.71,15.89,1527.29,266.37,14.85,10303.48,1019.21,9.0,22894.7,2240.03,8.91,8594.09,724.03,7.77,9279.1,1123.76,10.8,97.8,5.68,5.49,262.32,47.32,15.28,6313.66,924.46,12.77,32373.38,3242.58,9.1,-6718.75,-1945.33,22.45,2959.03,885.73,23.04,5957.78,594.4,9.07,5265.66,374.75,6.64,3096.07,274.84,8.15,2334.26,150.17,6.04,38869.88,5787.69,12.96,8595.7,1110.15,11.44,17167.19,2422.61,12.37,19914.75,1999.29,9.12,16734.53,1478.65,8.12,4849.58,662.52,12.02,7141.68,1401.39,16.4,54489.31,5287.17,8.84,17659.07,1848.88,9.48,634.57,0.0,0.0
10256.01,1103.51,9.71,1981.35,370.9,15.77,9184.98,1630.76,15.08,14646.03,2156.41,12.83,13170.44,2140.46,13.98,178.22,5.59,3.04,19190.4,910.96,4.53,13047.09,1244.33,8.71,5142.01,1096.55,17.58,8961.04,1821.01,16.89,13825.77,1638.58,10.6,28368.25,4199.39,12.89,6573.34,1172.72,15.14,1087.81,236.27,17.84,9974.29,1070.38,9.69,21920.7,2135.11,8.88,9060.29,761.87,7.76,9115.89,1295.33,12.44,98.74,5.68,5.44,194.61,39.15,16.75,6007.07,929.19,13.4,30506.68,3275.26,9.7,-6373.54,-1408.69,18.1,2689.12,661.27,19.74,5698.31,541.08,8.67,5284.48,344.65,6.12,2953.86,304.08,9.33,2298.82,136.84,5.62,40857.67,5451.86,11.77,5813.45,1149.71,16.51,15927.16,2359.4,12.9,19089.04,1939.95,9.23,12612.69,1555.19,10.98,4393.96,651.77,12.92,6916.06,1386.34,16.7,46142.78,5044.22,9.85,15736.81,1814.48,10.34,602.86,0.0,0.0
9477.63,693.72,6.82,1728.2,238.89,12.14,9075.06,1160.33,11.34,14839.03,1400.47,8.62,11920.95,1390.54,10.45,160.96,0.0,0.0,19216.59,555.35,2.81,13479.75,726.61,5.11,5117.38,826.51,13.91,8722.13,1345.86,13.37,13449.78,972.94,6.75,27159.11,2804.04,9.36,6384.13,808.51,11.24,1065.8,185.53,14.83,9752.28,612.43,5.91,22493.39,1291.88,5.43,7937.41,383.47,4.61,8535.63,654.63,7.12,101.0,3.1,2.98,300.43,26.68,8.16,5434.93,529.29,8.87,30136.02,1890.66,5.9,-4419.84,-1252.17,22.08,1786.8,557.21,23.77,5839.53,345.0,5.58,5535.35,217.8,3.79,2706.94,166.91,5.81,2630.83,89.97,3.31,40089.94,2970.33,6.9,5243.25,743.36,12.42,15460.28,1366.96,8.12,18664.34,1181.43,5.95,11491.32,901.59,7.28,5362.66,400.22,6.94,6842.32,1050.51,13.31,26656.28,3356.9,11.18,10366.68,1092.08,9.53,623.03,0.0,0.0
